,Unnamed: 0,movie_id,original_title,Release_year,revenue,tags
58,58,5174,Rush Hour 3,2007,258022233,"action comedi crime christuck jackiechan hiroyukisanada newlinecinema unitedstatesofamerica ambassador after an attempt assassin on ambassador han, inspector lee and detect carter are back in action as they head to pari to protect a french woman with knowledg of the triads' secret leaders. lee also hold secret meet with a unit nation authority, but hi person struggl with a chines crimin mastermind name kenji, which reveal that it' lee' long-lost...brother. brettratn"
60,60,17979,A Christmas Carol,2009,325233863,"anim drama garyoldman jimcarrey stevevalentin waltdisney imagemov unitedstatesofamerica holiday basedonnovel victorianengland miser ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence, what opportun he wast in hi youth, hi current cruelties, and the dire fate that await him if he doe not chang hi ways. scroog is face with hi own stori of grow bitter and meanness, and must decid what hi own futur will hold: death or redemption. robertzemecki"
63,63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,748806957,"adventur famili fantasi williammoseley annapopplewel skandarkeyn waltdisney waldenmedia unitedkingdom unitedstatesofamerica savingtheworld witch basedonnovel sibl lucy, edmund, susan and peter step through a magic wardrob and find the land of narnia. there, the they discov a charming, onc peac kingdom that ha been plung into etern winter by the evil white witch, jadis. aid by the wise and magnific lion, aslan, the children lead narnia into a spectacular, climact battl to be free of the witch' glacial power forever. andrewadamson"
65,65,155,The Dark Knight,2008,1004558444,"drama action crime christianbal heathledg aaroneckhart dccomic legendarypictur warnerbros. unitedkingdom unitedstatesofamerica dccomic crimefight secretident batman rais the stake in hi war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman set out to dismantl the remain crimin organ that plagu the streets. the partnership prove to be effective, but they soon find themselv prey to a reign of chao unleash by a rise crimin mastermind known to the terrifi citizen of gotham as the joker. christophernolan"
68,68,1726,Iron Man,2008,585174222,"action sciencefict adventur robertdowneyjr. terrencehoward jeffbridg marvelstudio unitedstatesofamerica middleeast armsdeal malibu after be held captiv in an afghan cave, billionair engin toni stark creat a uniqu weapon suit of armor to fight evil. jonfavreau"
71,71,1735,The Mummy: Tomb of the Dragon Emperor,2008,401128639,"adventur action fantasi brendanfras jetli johnhannah universalpictur chinafilmco-productioncorpor relativitymedia germani unitedstatesofamerica archaeologist rick o'connel travel to china, pit him against an emperor from the 2,000-year-old han dynasti who' return from the dead to pursu a quest for world domination. thi time, o'connel enlist the help of hi wife and son to quash the so-cal 'dragon emperor' and hi abus of supernatur power. robcohen"
90,90,5255,The Polar Express,2004,305875730,"adventur anim famili tomhank michaeljet nonagay goldenmean playton imagemov unitedstatesofamerica santaclau nerd faith when a doubt young boy take an extraordinari train ride to the north pole, he embark on a journey of self-discoveri that show him that the wonder of life never fade for those who believe. robertzemecki"
93,93,296,Terminator 3: Rise of the Machines,2003,435000000,"action thriller sciencefict arnoldschwarzenegg nickstahl clairedan columbiapictur intermediafilm warnerbros. germani unitedkingdom unitedstatesofamerica savingtheworld artificialintellig manvsmachin it' been 10 year sinc john connor save earth from judgment day, and he' now live under the radar, steer clear of use anyth skynet can trace. that is, until he encount t-x, a robot assassin order to finish what t-1000 started. good thing connor' former nemesis, the terminator, is back to aid the now-adult connor … just like he promised. jonathanmostow"
103,103,27022,The Sorcerer's Apprentice,2010,215283742,"fantasi adventur action nicolascag jaybaruchel monicabellucci waltdisneypictur jerrybruckheimerfilm saturnfilm unitedstatesofamerica witch fire wolf balthazar blake is a master sorcer in modern-day manhattan tri to defend the citi from hi arch-nemesis, maxim horvath. balthazar can't do it alone, so he recruit dave stutler, a seemingli averag guy who demonstr hidden potential, as hi reluct protégé. the sorcer give hi unwil accomplic a crash cours in the art and scienc of magic, and together, these unlik partner work to stop the forc of darkness. jonturteltaub"
106,106,810,Shrek the Third,2007,798958165,"fantasi adventur anim mikemy eddiemurphi camerondiaz dreamworksskg dreamworksanim unitedstatesofamerica ambush sad stage the king of far far away ha die and shrek and fiona are to becom king &amp; queen. however, shrek want to return to hi cozi swamp and live in peac and quiet, so when he find out there is anoth heir to the throne, they set off to bring him back to rule the kingdom. chrismil"
114,114,674,Harry Potter and the Goblet of Fire,2005,895921036,"adventur fantasi famili danielradcliff rupertgrint emmawatson patalexivproductionslimit warnerbros. heydayfilm unitedkingdom unitedstatesofamerica magic dyinganddeath broom harri start hi fourth year at hogwarts, compet in the treacher triwizard tournament and face the evil lord voldemort. ron and hermion help harri manag the pressur – but voldemort lurks, await hi chanc to destroy harri and all that he stand for. mikenewel"
117,117,118,Charlie and the Chocolate Factory,2005,474968763,"adventur comedi famili johnnydepp freddiehighmor davidkelli villageroadshowpictur thezanuckcompani warnerbros. australia unitedkingdom unitedstatesofamerica londonengland fathersonrelationship chocol a young boy win a tour through the most magnific chocol factori in the world, led by the world' most unusu candi maker. timburton"
123,123,605,The Matrix Revolutions,2003,424988211,adventur action thriller keanureev laurencefishburn carrie-annemoss villageroadshowpictur npventertain silverpictur unitedstatesofamerica australia savingtheworld artificialintellig manvsmachin the human citi of zion defend itself against the massiv invas of the machin as neo fight to end the war at anoth front while also oppos the rogu agent smith. lillywachowski
156,156,616,The Last Samurai,2003,456758981,"drama action war tomcruis kenwatanab williamatherton cruise/wagnerproduct warnerbros. radarpictur japan unitedstatesofamerica newzealand japan warcrim senseofguilt nathan algren is an american hire to instruct the japanes armi in the way of modern warfare, which find him learn to respect the samurai and the honor principl that rule them. press to destroy the samurai' way of life in the name of modern and open trade, algren decid to becom an ultim warrior himself and to fight for their right to exist. edwardzwick"
164,164,944,Lethal Weapon 4,1998,285444603,"action adventur comedi melgibson dannyglov joepesci silverpictur donner/shuler-donnerproduct warnerbros. unitedstatesofamerica lapd houseonfir revolv in the combust action franchise' final installment, maverick detect martin rigg and roger murtaugh squar off against asian mobster wah sing ku, who' up to hi neck in slave trade and counterfeit currency. with help from gumsho leo getz and smart-aleck rooki cop lee butters, rigg and murtaugh aim to take down ku and hi gang. richarddonn"
168,168,2114,Final Fantasy: The Spirits Within,2001,85131830,"adventur action anim donaldsutherland ming-nawen alecbaldwin columbiapictur squareusa chrisleeproduct japan unitedstatesofamerica battleassign dystopia alien led by a strang dream, scientist aki ross struggl to collect the eight spirit in the hope of creat a forc power enough to protect the planet. with the aid of the deep eye squadron and her mentor, dr. sid, aki must save the earth from it darkest hate and unleash the spirit within. hironobusakaguchi"
169,169,1771,Captain America: The First Avenger,2011,370569774,"action adventur sciencefict chrisevan hugoweav tommyleejon marvelstudio unitedstatesofamerica newyork usa worldwarii predominantli set dure world war ii, steve roger is a sickli man from brooklyn who' transform into super-soldi captain america to aid in the war effort. roger must stop the red skull – adolf hitler' ruthless head of weaponry, and the leader of an organ that intend to use a mysteri devic of untold power for world domination. joejohnston"
180,180,2503,The Bourne Ultimatum,2007,442824138,"action drama mysteri mattdamon juliastil davidstrathairn universalpictur thekennedy/marshallcompani ludlumentertain germani unitedstatesofamerica pari corrupt madrid bourn is brought out of hide onc again by report simon ross who is tri to unveil oper blackbriar, an upgrad to project treadstone, in a seri of newspap columns. inform from the report stir a new set of memories, and bourn must final uncov hi dark past while dodg the company' best effort to erad him. paulgreengrass"
185,185,74,War of the Worlds,2005,591739379,"adventur thriller sciencefict tomcruis dakotafan mirandaotto paramountpictur dreamworksskg cruise/wagnerproduct unitedstatesofamerica posttraumaticstressdisord newjersey airplan ray ferrier is a divorc dockwork and less-than-perfect father. soon after hi ex-wif and her new husband drop of hi teenag son and young daughter for a rare weekend visit, a strang and power lightn storm touch down. stevenspielberg"
191,191,673,Harry Potter and the Prisoner of Azkaban,2004,789804554,"adventur fantasi famili danielradcliff rupertgrint emmawatson 1492pictur heydayfilm warnerbros. unitedkingdom unitedstatesofamerica fli traitor magic harry, ron and hermion return to hogwart for anoth magic-fil year. harri come face to face with danger yet again, thi time in the form of escap convict, siriu black – and turn to sympathet professor lupin for help. alfonsocuarón"
197,197,671,Harry Potter and the Philosopher's Stone,2001,976475550,"adventur fantasi famili danielradcliff rupertgrint emmawatson 1492pictur warnerbros. heydayfilm unitedkingdom unitedstatesofamerica witch christmasparti magic harri potter ha live under the stair at hi aunt and uncle' hous hi whole life. but on hi 11th birthday, he learn he' a power wizard -- with a place wait for him at the hogwart school of witchcraft and wizardry. as he learn to har hi newfound power with the help of the school' kindli headmaster, harri uncov the truth about hi parents' death -- and about the villain who' to blame. chriscolumbu"
199,199,22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,655011224,"adventur fantasi action johnnydepp geoffreyrush orlandobloom waltdisneypictur jerrybruckheimerfilm unitedstatesofamerica exoticisland blacksmith eastindiatradingcompani jack sparrow, a freewheel 17th-centuri pirat who roam the caribbean sea, butt head with a rival pirat bent on pillag the villag of port royal. when the governor' daughter is kidnapped, sparrow decid to help the girl' love save her. but their seafar mission is hardli simple. goreverbinski"
208,208,1911,The 13th Warrior,1999,61698899,"adventur fantasi action antoniobandera vladimirkulich dennisstorhøi touchstonepictur unitedstatesofamerica witch cave arabian in ad 922, arab courtier, ahmad ibn fadlan accompani a parti of vike to the barbar north to combat a terror that slaughter vike and devour their flesh. johnmctiernan"
211,211,8871,How the Grinch Stole Christmas,2000,345141403,"famili comedi fantasi jimcarrey taylormomsen jeffreytambor imagineentertain universalpictur germani unitedstatesofamerica holiday christmasparti newlov insid a snowflak exist the magic land of whoville. in whoville, live the whos, an almost mutat sort of munchkin-lik people. all the who love christmas, yet just outsid of their belov whovil live the grinch. the grinch is a nasti creatur that hate christmas, and plot to steal it away from the whos, whom he equal abhors. yet a small child, cindi lou who, decid to tri befriend the grinch. ronhoward"
212,212,435,The Day After Tomorrow,2004,544272402,"action adventur sciencefict dennisquaid jakegyllenha emmyrossum lionsgatefilm twentiethcenturyfoxfilmcorpor centropolisentertain unitedstatesofamerica savingtheworld librari cataclysm after year of increas in the greenhous effect, havoc is wreak global in the form of catastroph hurricanes, tornadoes, tidal waves, flood and the begin of a new ice age. paleoclimatologist, jack hall tri to warn the world while also shepherd to safeti hi son, trap in new york after the citi is overwhelm by the start of the new big freeze. rolandemmerich"
214,214,2133,The Perfect Storm,2000,325756637,"drama georgeclooney markwahlberg dianelan warnerbros. baltimorespringcreekproduct radiantproduct unitedstatesofamerica u.s.airforc groceri jamaican in octob 1991, a confluenc of weather condit combin to form a killer storm in the north atlantic. caught in the storm wa the sword-fish boat andrea gail. magnific foreshadow and anticip fill thi true-lif drama while minut detail of the fish boats, their gear and the weather are juxtapos with the sea adventure. wolfgangpetersen"
215,215,1979,4: Rise of the Silver Surfer,2007,289047763,"adventur fantasi action ioangruffudd jessicaalba chrisevan ingeniousfilmpartn twentiethcenturyfoxfilmcorpor 1492pictur germani unitedkingdom unitedstatesofamerica fire helicopt surfboard the fantast four return to the big screen as a new and all power enemi threaten the earth. the seemingli unstopp 'silver surfer', but all is not what it seem and there are old and new enemi that pose a greater threat than the intrepid superhero realize. timstori"
223,223,2789,The Chronicles of Riddick,2004,115772733,"action sciencefict vindiesel thandienewton karlurban oneracefilm radarpictur unitedstatesofamerica prison dystopia matteroflifeanddeath after year of outrun ruthless bounti hunters, escap convict riddick suddenli find himself caught between oppos forc in a fight for the futur of the human race. now, wage incred battl on fantast and deadli worlds, thi lone, reluct hero will emerg as humanity' champion - and the last hope for a univers on the edg of annihilation. davidtwohi"
225,225,7459,Speed Racer,2008,93945766,"action famili sciencefict emilehirsch christinaricci matthewfox villageroadshowpictur studiobabelsberg anarchosproduct australia germani unitedstatesofamerica carrac lossofbroth chimp speed racer is the tale of a young and brilliant race driver. when corrupt in the race leagu cost hi brother hi life, he must team up with the polic and the mysteri racer x to bring an end to the corrupt and crimin activities. inspir by the cartoon series. lillywachowski"
229,229,1895,Star Wars: Episode III - Revenge of the Sith,2005,850000000,"sciencefict adventur action ewanmcgregor natalieportman haydenchristensen lucasfilm unitedstatesofamerica showdown deathstar vision year after the onset of the clone wars, the nobl jedi knight lead a massiv clone armi into a galaxy-wid battl against the separatists. when the sinist sith unveil a thousand-year-old plot to rule the galaxy, the republ crumbl and from it ash rise the evil galact empire. jedi hero anakin skywalk is seduc by the dark side of the forc to becom the emperor' new apprentic – darth vader. the jedi are decimated, as obi-wan kenobi and jedi master yoda are forc into hiding. the onli hope for the galaxi are anakin' own offspr – the twin children born in secreci who will grow up to becom heroes. georgeluca"
230,230,1894,Star Wars: Episode II - Attack of the Clones,2002,649398328,"adventur action sciencefict ewanmcgregor natalieportman haydenchristensen lucasfilm unitedstatesofamerica senat investig armi ten year after the invas of naboo, the galaxi is on the brink of civil war. under the leadership of a renegad jedi name count dooku, thousand of solar system threaten to break away from the galact republic. when an assassin attempt is made on senat padmé amidala, the former queen of naboo, twenty-year-old jedi apprentic anakin skywalk is assign to protect her. in the cours of hi mission, anakin discov hi love for padmé as well as hi own darker side. soon, anakin, padmé, and obi-wan kenobi are drawn into the heart of the separatist movement and the begin of the clone wars. georgeluca"
231,231,585,"Monsters, Inc.",2001,562816256,"anim comedi famili johngoodman billycryst marygibb waltdisneypictur pixaranimationstudio unitedstatesofamerica monster infant energysuppli jame sullivan and mike wazowski are monsters, they earn their live scare children and are the best in the business... even though they'r more afraid of the children than they are of them. when a child accident enter their world, jame and mike suddenli find that kid are not to be afraid of and they uncov a conspiraci that could threaten all children across the world. petedoct"
233,233,1893,Star Wars: Episode I - The Phantom Menace,1999,924317558,"adventur action sciencefict liamneeson ewanmcgregor natalieportman lucasfilm unitedstatesofamerica propheci senat queen anakin skywalker, a young slave strong with the force, is discov on tatooine. meanwhile, the evil sith have returned, enact their plot for reveng against the jedi. georgeluca"
243,243,1593,Night at the Museum,2006,574480841,"action adventur comedi benstil jakecherri carlagugino ingeniousfilmpartn twentiethcenturyfoxfilmcorpor 1492pictur unitedstatesofamerica unitedkingdom museum skeleton nightshift chao reign at the natur histori museum when night watchman larri daley accident stir up an ancient curse, awaken attila the hun, an armi of gladiators, a tyrannosauru rex and other exhibits. larri tri desper to keep the museum under control, but he' fight a lose battl until presid teddi roosevelt come to the rescue. shawnlevi"
245,245,714,Tomorrow Never Dies,1997,333011068,adventur action thriller piercebrosnan jonathanpryc michelleyeoh eonproduct unitedkingdom unitedstatesofamerica londonengland england spi a derang media mogul is stage intern incid to pit the world' superpow against each other. now 007 must take on thi evil mastermind in an adrenaline-charg battl to end hi reign of terror and prevent global pandemonium. rogerspottiswood
246,246,2024,The Patriot,2000,215294342,"drama histori war melgibson heathledg joelyrichardson centropolisentertain columbiapicturescorpor mutualfilmcompani germani unitedstatesofamerica rebel southernusa lossofson after prove himself on the field of battl in the french and indian war, benjamin martin want noth more to do with such things, prefer the simpl life of a farmer. but when hi son gabriel enlist in the armi to defend their new nation, america, against the british, benjamin reluctantli return to hi old life to protect hi son. rolandemmerich"
247,247,163,Ocean's Twelve,2004,362744280,"thriller crime georgeclooney bradpitt catherinezeta-jon villageroadshowpictur sectioneight jerryweintraubproduct unitedstatesofamerica sequel fabergéegg dutcheastindiancompani danni ocean reunit with hi old flame and the rest of hi merri band of thiev in carri out three huge heist in rome, pari and amsterdam – but a europol agent is hot on their heels. stevensoderbergh"
250,250,2567,The Aviator,2004,102000000,"drama leonardodicaprio cateblanchett katebeckinsal miramaxfilm appianway forwardpass unitedstatesofamerica ladykil pilot biographi a biopic depict the life of filmmak and aviat pioneer howard hugh from 1927 to 1947, dure which time he becam a success film produc and an aviat magnate, while simultan grow more unstabl due to sever obsessive-compuls disorder. martinscorses"
262,262,120,The Lord of the Rings: The Fellowship of the Ring,2001,871368364,"adventur fantasi action elijahwood ianmckellen cateblanchett wingnutfilm newlinecinema thesaulzaentzcompani newzealand unitedstatesofamerica elv dwarv orc young hobbit frodo baggins, after inherit a mysteri ring from hi uncl bilbo, must leav hi home in order to keep it from fall into the hand of it evil creator. along the way, a fellowship is form to protect the ringbear and make sure that the ring arriv at it final destination: mt. doom, the onli place where it can be destroyed. peterjackson"
266,266,2048,"I, Robot",2004,347234916,"action sciencefict willsmith bridgetmoynahan alantudyk twentiethcenturyfoxfilmcorpor laurencemarkproduct davisentertain unitedstatesofamerica germani suicid artificialintellig manvsmachin in 2035, where robot are common-plac and abid by the three law of robotics, a techno-phob cop investig an appar suicide. suspect that a robot may be respons for the death, hi investig lead him to believ that human may be in danger. alexproya"
267,267,1495,Kingdom of Heaven,2005,211643158,"drama action adventur orlandobloom evagreen jeremyiron studiobabelsberg twentiethcenturyfoxfilmcorpor scottfreeproduct germani morocco spain crusad epic knight after hi wife dies, a blacksmith name balian is thrust into royalty, polit intrigu and bloodi holi war dure the crusades. ridleyscott"
271,271,1635,The Island,2005,162949164,"action thriller sciencefict ewanmcgregor scarlettjohansson djimonhouns dreamworksskg warnerbros. parkes/macdonaldproduct unitedstatesofamerica clone transplant loveofone'slif in 2019, lincoln six-echo is a resid of a seemingli ""utopian"" but contain facility. like all of the inhabit of thi carefully-control environment, lincoln hope to be chosen to go to the island — reportedli the last uncontamin locat on the planet. but lincoln soon discov that everyth about hi exist is a lie. michaelbay"
275,275,180,Minority Report,2002,358372926,"action thriller sciencefict tomcruis colinfarrel samanthamorton dreamworksskg cruise/wagnerproduct amblinentertain unitedstatesofamerica self-fulfillingpropheci washingtond.c. evid john anderton is a top 'precrime' cop in the late-21st century, when technolog can predict crime befor they'r committed. but anderton becom the quarri when anoth investig target him for a murder charge. stevenspielberg"
278,278,869,Planet of the Apes,2001,362211740,"thriller sciencefict action markwahlberg timroth helenabonhamcart twentiethcenturyfoxfilmcorpor timburtonproduct zanuckcompany,th unitedstatesofamerica gorilla spacemarin spacesuit after a spectacular crash-land on an unchart planet, brash astronaut leo davidson find himself trap in a savag world where talk ape domin the human race. desper to find a way home, leo must evad the invinc gorilla armi led by ruthless gener thade. timburton"
279,279,280,Terminator 2: Judgment Day,1991,520000000,"action thriller sciencefict arnoldschwarzenegg lindahamilton robertpatrick lightstormentertain pacificwestern canal+ franc unitedstatesofamerica cyborg shotgun post-apocalypt nearli 10 year have pass sinc sarah connor wa target for termin by a cyborg from the future. now her son, john, the futur leader of the resistance, is the target for a newer, more deadli terminator. onc again, the resist ha manag to send a protector back to attempt to save john and hi mother sarah. jamescameron"
281,281,4982,American Gangster,2007,266465037,"drama crime denzelwashington russellcrow chiwetelejiofor imagineentertain universalpictur scottfreeproduct unitedkingdom unitedstatesofamerica underdog blackpeopl drugtraff follow the death of hi employ and mentor, bumpi johnson, frank luca establish himself as the number one import of heroin in the harlem district of manhattan. he doe so by buy heroin directli from the sourc in south east asia and he come up with a uniqu way of import the drug into the unit states. base on a true story. ridleyscott"
288,288,10545,The Hunchback of Notre Dame,1996,100138851,"drama anim famili tomhulc demimoor tonyjay waltdisneypictur unitedstatesofamerica pari basedonnovel judg when quasi defi the evil frollo and ventur out to the festiv of fools, the cruel crowd jeer him. rescu by fellow outcast the gypsi esmeralda, quasi soon find himself battl to save the peopl and the citi he loves. garytrousdal"
291,291,2059,National Treasure,2004,347451894,"adventur action thriller nicolascag dianekrug justinbartha waltdisneypictur jerrybruckheimerfilm saturnfilm unitedstatesofamerica riddl treasur treasurehunt modern treasur hunters, led by archaeologist ben gates, search for a chest of rich rumor to have been stash away by georg washington, thoma jefferson and benjamin franklin dure the revolutionari war. the chest' whereabout may lie in secret clue embed in the constitut and the declar of independence, and gate is in a race to find the gold befor hi enemi do. jonturteltaub"
300,300,563,Starship Troopers,1997,121214377,"adventur action thriller caspervandien dinamey deniserichard tristarpictur touchstonepictur bigbugpictur unitedstatesofamerica moon asteroid spacemarin set in the future, the stori follow a young soldier name johnni rico and hi exploit in the mobil infantry. rico' militari career progress from recruit to non-commiss offic and final to offic against the backdrop of an interstellar war between mankind and an arachnoid speci known as ""the bugs"". paulverhoeven"
303,303,314,Catwoman,2004,82102379,"action crime halleberri benjaminbratt sharonston villageroadshowpictur dinovipictur warnerbros. unitedstatesofamerica whiterussian sex dccomic liquid after discov a corpor conspiracy, mild-mann graphic artist patienc phillip wash up on an island, where she' resurrect and endow with the prowess of a cat -- and she' eager to use her new skill ... as a vigilante. befor you can say ""cat and mouse,"" handsom gumsho tom lone is on her tail. pitof"
308,308,257088,Point Break,2015,133718711,"action crime thriller edgarramírez lukebracey teresapalm studiobabelsberg alconentertain dmgentertain germani unitedstatesofamerica china undercov undercoverag extremesport a young undercov fbi agent infiltr a gang of thiev who share a common interest in extrem sports. a remak of the 1991 film, ""point break"". ericsoncor"
315,315,1734,The Mummy Returns,2001,433013274,"adventur action fantasi brendanfras rachelweisz johnhannah universalpictur alphavillefilm imhotepproduct unitedstatesofamerica son ancientegypt bracelet rick and evelyn o'connell, along with their 8 year old son alex, discov the key to the legendari scorpion king' might, the fabl bracelet of anubis. unfortunately, a newli resurrect imhotep ha design on the bracelet as well, and isn't abov kidnap it new bearer, alex, to gain control of anubis' otherworldli army. stephensomm"
322,322,18,The Fifth Element,1997,263920180,"adventur fantasi action brucewilli garyoldman ianholm columbiapictur gaumont franc clone taxi cyborg in 2257, a taxi driver is unintent given the task of save a young girl who is part of the key that will ensur the surviv of humanity. lucbesson"
327,327,7980,The Lovely Bones,2009,93525586,"fantasi drama rachelweisz markwahlberg susansarandon wingnutfilm dreamworksskg keycr unitedkingdom newzealand unitedstatesofamerica rape 1970 evid after be brutal murdered, 14-year-old susi salmon watch from heaven over her grief-stricken famili -- and her killer. as she observ their daili lives, she must balanc her thirst for reveng with her desir for her famili to heal. peterjackson"
328,328,12,Finding Nemo,2003,940335536,"anim famili albertbrook ellendegener alexandergould pixaranimationstudio unitedstatesofamerica fathersonrelationship harbor underwat nemo, an adventur young clownfish, is unexpectedli taken from hi great barrier reef home to a dentist' offic aquarium. it' up to hi worrisom father marlin and a friendli but forget fish dori to bring nemo home -- meet vegetarian sharks, surfer dude turtles, hypnot jellyfish, hungri seagulls, and more along the way. andrewstanton"
329,329,122,The Lord of the Rings: The Return of the King,2003,1118888979,"adventur fantasi action elijahwood ianmckellen viggomortensen wingnutfilm newlinecinema newzealand unitedstatesofamerica elv orc middle-earth(tolkien) aragorn is reveal as the heir to the ancient king as he, gandalf and the other member of the broken fellowship struggl to save gondor from sauron' forces. meanwhile, frodo and sam bring the ring closer to the heart of mordor, the dark lord' realm. peterjackson"
330,330,121,The Lord of the Rings: The Two Towers,2002,926287400,"adventur fantasi action elijahwood ianmckellen viggomortensen wingnutfilm newlinecinema thesaulzaentzcompani newzealand unitedstatesofamerica elv orc middle-earth(tolkien) frodo and sam are trek to mordor to destroy the one ring of power while gimli, legola and aragorn search for the orc-captur merri and pippin. all along, nefari wizard saruman await the fellowship member at the orthanc tower in isengard. peterjackson"
332,332,1995,Lara Croft: Tomb Raider,2001,274703340,"adventur fantasi action angelinajoli jonvoight iainglen paramountpictur toho-towa mutualfilmcompani unitedstatesofamerica treasur buddhistmonk planetaryconfigur english aristocrat lara croft is skill in hand-to-hand combat and in the middl of a battl with a secret society. the shape archaeologist moonlight as a tomb raider to recov lost antiqu and meet her match in the evil powell, who' in search of a power relic. simonwest"
334,334,331,Jurassic Park III,2001,368780809,"adventur action thriller samneil williamh.maci téaleoni universalstudio amblinentertain unitedstatesofamerica exoticisland dna paleontolog in need of fund for research, dr. alan grant accept a larg sum of money to accompani paul and amanda kirbi on an aerial tour of the infam isla sorna. it isn't long befor all hell break loos and the strand wayfar must fight for surviv as a host of new -- and even more deadli -- dinosaur tri to make snack of them. joejohnston"
